input log file location, ./qnn-profiling-data.log
qnn-profile-viewer version, v2.47.0.260601114230
mllm version, 1
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Slice.56:OpId_1110 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Concat.37:OpId_1171 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Concat.25:OpId_1027 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Concat.29:OpId_1075 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.MatMul.1:OpId_1214 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Concat.31:OpId_1099 
47175703048,EXECUTE,187,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.q_proj.1:OpId_55 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_norm.3:OpId_893 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.q_proj.2:OpId_68 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Slice.50:OpId_1038 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.q_proj.0:OpId_42 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Slice.52:OpId_1062 
47175703048,EXECUTE,"HVX, HMX, DMA",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,model.layers.0.self_attn.View.5:OpId_99 (cycles)
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
